Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
6,3,68.0,0.04942192,3,48.0,0.1214205,16,61.0,0.2002784,14,0,0,0,0,0,0,0,0,0
2,2,98.0,0.2658513,19,57.0,0.02189357,26,0,0,0,0,0,0,0,0,0,0,0,0
25,5,24.0,0.2328836,4,19.0,0.3047313,20,83.0,0.3170909,30,19.0,0.4975973,18,94.0,0.4854187,10,0,0,0
9,5,101.0,0.2682197,9,110.0,0.3730249,15,71.0,0.4328145,16,118.0,0.1457671,13,101.0,0.3207549,1,0,0,0
23,6,17.0,0.05911632,17,88.0,0.3927558,24,48.0,0.0127836,27,98.0,0.1108058,24,109.0,0.4665165,20,66.0,0.2286938,28
6,4,73.0,0.1229729,10,30.0,0.3217306,1,86.0,0.2429592,22,118.0,0.1809093,20,0,0,0,0,0,0
20,5,65.0,0.461623,2,62.0,0.1197625,26,35.0,0.27291,23,67.0,0.1832103,2,15.0,0.2848537,7,0,0,0
2,1,37.0,0.4003468,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,113.0,0.4136923,28,79.0,0.1448136,26,101.0,0.3782471,15,100.0,0.493876,3,50.0,0.02617932,28,75.0,0.4507367,4
6,2,23.0,0.3948134,18,30.0,0.4856516,7,0,0,0,0,0,0,0,0,0,0,0,0
0,2,117.0,0.3848388,13,108.0,0.4862276,14,0,0,0,0,0,0,0,0,0,0,0,0
6,4,74.0,0.08777906,18,78.0,0.2531162,4,82.0,0.4478171,23,93.0,0.3151263,22,0,0,0,0,0,0
7,2,34.0,0.2057032,29,70.0,0.3987621,21,0,0,0,0,0,0,0,0,0,0,0,0
2,1,59.0,0.3520413,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,79.0,0.1370671,13,105.0,0.1242792,9,32.0,0.3174953,4,0,0,0,0,0,0,0,0,0
1,2,8.0,0.324645,3,58.0,0.1945702,5,0,0,0,0,0,0,0,0,0,0,0,0
17,6,55.0,0.4973344,10,64.0,0.1205448,2,105.0,0.3422185,23,60.0,0.1108744,15,90.0,0.05383737,25,22.0,0.01099063,20
0,1,98.0,0.0912822,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,73.0,0.06418587,20,22.0,0.4628045,11,115.0,0.05121131,27,78.0,0.4645341,23,116.0,0.04169942,15,93.0,0.3078537,19
2,3,14.0,0.1453842,7,105.0,0.499672,16,118.0,0.3754683,30,0,0,0,0,0,0,0,0,0
4,3,10.0,0.3197177,13,19.0,0.1752635,5,31.0,0.1258706,17,0,0,0,0,0,0,0,0,0
3,3,10.0,0.2788835,24,85.0,0.4331267,10,11.0,0.4515017,2,0,0,0,0,0,0,0,0,0
3,1,106.0,0.197109,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,8.0,0.3479586,17,18.0,0.2253295,28,115.0,0.3287178,10,66.0,0.2590803,15,105.0,0.3398543,16,0,0,0
16,5,54.0,0.486341,6,95.0,0.2679807,14,82.0,0.4308328,3,43.0,0.04522271,17,30.0,0.21384,9,0,0,0
12,3,104.0,0.09462781,15,18.0,0.4701554,23,60.0,0.04473473,21,0,0,0,0,0,0,0,0,0
7,3,90.0,0.2418577,10,77.0,0.1588737,25,12.0,0.08155824,7,0,0,0,0,0,0,0,0,0
17,5,49.0,0.1946307,25,33.0,0.03711446,22,31.0,0.09932466,19,85.0,0.3864351,18,105.0,0.363306,3,0,0,0
9,3,77.0,0.2863767,10,22.0,0.3690714,5,51.0,0.1630476,18,0,0,0,0,0,0,0,0,0
1,1,98.0,0.3383105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,78.0,0.0799035,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,74.0,0.05036898,16,35.0,0.3527531,19,29.0,0.3593321,12,58.0,0.3782463,19,103.0,0.04319479,22,0,0,0
0,1,47.0,0.06275018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,47.0,0.3811867,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,45.0,0.28363,16,77.0,0.3097025,21,7.0,0.06215306,27,97.0,0.2246666,6,0,0,0,0,0,0
1,1,92.0,0.3133993,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,8.0,0.07732017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,116.0,0.4231945,4,16.0,0.02179481,26,72.0,0.124286,8,0,0,0,0,0,0,0,0,0
26,5,55.0,0.01689662,11,100.0,0.221398,19,27.0,0.4375636,18,38.0,0.07355566,30,102.0,0.1955487,8,0,0,0
0,1,95.0,0.09024467,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,56.0,0.2640993,13,103.0,0.4059524,26,0,0,0,0,0,0,0,0,0,0,0,0
26,6,43.0,0.1113962,3,13.0,0.3780479,23,88.0,0.289846,25,14.0,0.4628429,6,111.0,0.2000812,2,13.0,0.03101749,9
11,5,119.0,0.4711169,5,66.0,0.03005148,18,5.0,0.2678138,11,22.0,0.3730612,30,94.0,0.5014675,28,0,0,0
